symbol
AAPL
MSFT
GOOGL
AMZN
META
NVDA
AMD
AVGO
ORCL
CRM
ADBE
NOW
NFLX
TSLA
UBER
SHOP
SNOW
PLTR
INTU
QCOM
TXN
MU
JPM
BAC
WFC
GS
MS
BLK
SCHW
V
MA
AXP
PYPL
COST
WMT
TGT
HD
LOW
MCD
SBUX
KO
PEP
PG
XOM
CVX
COP
SLB
PFE
MRK
LLY
JNJ
ABBV
UNH
ISRG
CAT
DE
GE
BA
HON
